"* Select shipping method","* Teslimat Yöntemini Seçiniz"
"A virtual item to reflect the discount total","İndirimli toplamı gösterecek sanal ürün"
"A virtual item to reflect the tax total","Vergi toplamını gösterecek sanal ürün"
"Buyer Account Age: %s days","Müşteri Hesap Ömrü : %s gün"
"Credit memo has been created automatically","Alacak kaydı otomatik olarak oluşturuldu"
"Default Price for Methods","Yöntemler için Varsayılan Ücret"
"Delivery Schedule","Teslim Takvimi"
"Discount Tax","İndirimin Vergisi"
"Eligible for Protection: %s","Korumaya Uygun : %s"
"Google Buyer ID: %s","Müşterinin Google Kimliği : %s"
"Google Chargeback:","Google Geri Ödeme :"
"Google Order Status Change:","Google Sipariş Durum Değişimi :"
"Invoice Auto-Created: %s","Otomatik Oluşturulan Fatura : %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Müşteri Duyuru Mailleri Almak İstiyor mu : %s"
"Latest Chargeback: %s","Son Geri Ödeme : %s"
"New Order Status","Yeni Sipariş Durumu"
"Title","Başlık"
"Total Chargeback: %s","Toplam Geri Ödeme : %s"
"Yes","Evet"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"<br />Warning: <strong>%s</strong><br />","<br />Dikkat : <strong>%s</strong><br />"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Vergi toplamı Google Checkout'tan alınan bilgilerle hesaplanacak, çünkü sistemde hesaplanan ve Google Checkout'ta hesaplanan vergi arasında fark var."
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-11-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Order creation error","Sipariş oluşturma hatası"
"--------------- v 1.6.0.0-rc2 2011-11-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"2Day","2Gün"
"2nd Day Air","2.Gün Hava Kargosu"
"2nd Day Air AM","2.Gün Hava Kargosu (ÖÖ)"
"3 Day Select","3 Gün"
"Commercial","Ticari"
"Description-based delivery","Açıklama temelli teslimat"
"Email delivery","Email teslimatı"
"Express Mail","Express Posta"
"Express Saver","Express Tasarruflu"
"FedEx","FedEx"
"First Overnight","İlk Gece"
"Ground","Karasal Kargo"
"Home Delivery","Eve Teslim"
"Inches","İnç"
"Key/URL delivery","Anahtar/URL teslimatı"
"Media Mail","Medya Posta"
"Next Day Air","Bir sonraki gün Hava Kargosu"
"Next Day Air Early AM","Bir sonraki gün Hava Kargosu (Sabah Teslim)"
"Next Day Air Saver","Bir sonraki gün Hava Kargosu Ekonomik"
"No Comment","Yorum Yok"
"No Reason","Sebep yok"
"Optimistic","İyimser"
"Parcel Post","Paket Postası"
"Pessimistic","Kötümser"
"Priority Mail","Öncelikli Posta"
"Priority Overnight","Öncelikli İlk Gece Teslimi"
"Residential","Yerleşik"
"Standard Overnight","Standart İlk Gece Teslim"
"UPS","UPS"
"USPS","USPS"
"Unknown Reason","Bilinmeyen Sebep"
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Gerçek Google Checkout işlemleri için gereklidir. (""Web"" > ""Güvenli"") 'Ön Sayfada Güvenli Adresler Kullan' seçeneği açık olduğundan emin olunuz ."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"GoogleCheckout is not configured","GoogleCheckout kurulumu/ayarları yapılmamış."
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
