" Copy"," Kopyala"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Newsletter Section","Duyurular Bölümü"
"Newsletter Subscription","Duyuru Aboneliği"
"Please enter a valid email address","Geçerli bir e-mail adresi giriniz"
"Sending Options","Gönderim Seçenekleri"
"Set Return-Path","Geri Dönüş Yolu Belirt"
"Subscribed","Abone"
"Unsubscribed","Abone Değil"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- Bu etiket abonelikten ayrılma bağlantısı içindir  --> Duyuru aboneliğinden çıkmak için bu bağlantıya tıklayınız <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Customer My Account Newsletter Subscriptions","Müşteri Hesabım Duyuru Abonelikleri"
"Delete","Sil"
"Queue Newsletter...","Duyuru Kuyruğu..."
"Sign up for our newsletter","Duyurularımıza abone olunuz"
"Template Styles","Tema Stilleri"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Allow Guest Subscription","Misafirlerin abone olmasına izin ver"
"An error occurred while saving your subscription.","Aboneliğiniz kaydedilirken bir sorun oluştu."
"Cannot mark as received subscriber.","Yeni abone olarak işaretlenemedi."
"Confirmation request has been sent.","Onaylama isteği gönderildi."
"Customer First Name","Müşteri Adı"
"Customer Last Name","Müşteri Soyadı"
"Duplicate template code.","Çift tema kodu."
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Abonelikten çıkmak için tıklayınız : <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Invalid queue selected.","Hatalı kuyruk seçimi."
"Invalid subscription ID.","Hatalı abonelik numarası."
"Invalid subscription confirmation code.","Hatalı abonelik onay kodu."
"Newsletter Sign-up:","Duyuru Listesi Aboneliği:"
"Newsletter Styles","Duyuru Stilleri"
"Newsletter Subscription Form Before","Duyuru Abonelik Formu Önce Olsun"
"No problems found.","Problem bulunamadı."
"No subscribers selected.","Abone seçilmedi."
"Not Activated","Aktifleştirilmedi"
"Please enter a valid email address.","Lütfen geçerli bir e-mail adresi giriniz."
"Return HTML Version","HTML Sürümüne Dön"
"Save and Resume","Kaydet ve Geri Yükle"
"Selected problem subscribers have been unsubscribed.","Problem oluşturan aboneler abonelikten çıkarıldı."
"Selected problems have been deleted.","Seçili problemler silindi."
"Sign Up for Our Newsletter:","Duyuru Listemize Abone Olun :"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Üzgünüz, misafir kullanıcıların duyuru listesine abone olmasına izin verilmiyor. Lütfen <a href=""%s"">üye olunuz</a>."
"Submit","Gönder"
"Thank you for your subscription","Abone olduğunuz için teşekkür ederiz."
"Thank you for your subscription.","Abone olduğunuz için teşekkür ederiz."
"The subscription has been removed.","Abonelik sonlandırıldı."
"The subscription has been saved.","Abonelik kaydedildi."
"There was a problem with the subscription.","Abonelikle ilgili sorun oluştu."
"This email address is already assigned to another user.","Bu e-mail adresi başka bir kullanıcı ile ilişkilendirilmiş."
"Unconfirmed","Onaylanmamış"
"You have been unsubscribed.","Aboneliğiniz sonlandırıldı."
"Your subscription has been confirmed.","Aboneliğiniz onaylandı."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.1.0 2011-05-10 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Please refer to exeption.log","exception.log dosyasına bakınız."
"--------------- v 1.5.1.0 2011-05-10 SONU --------------------","////////////////////////////////////////////////////////////////////////"
