"Qty","Adet"
"Please enter issue number or start date for switch/solo card type.","Switch/Solo kart tipi için numara veya başlangıç tarihi giriniz."
"Please select a valid shipping method before submitting the order.","Siparişinizi göndermeden önce bir teslimat yöntemi seçiniz."
"Start Date:","Başlangıç Tarihi :"
"Switch/Solo Only","Sadece Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo kart numarası : %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kart başlama tarihi : %s/%s"
"There was an error processing your order. Please contact us.","Siparişiniz işlenirken bir sorun oluştu. Lütfen site yönetimi ile bağlantı kurunuz."
"You will be redirected to PayPal in a few seconds.","Ödeme işlemini tamamlamak için birkaç saniye içinde PayPal sistemine yönlendirileceksiniz."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Fatura adresiniz gözardı edilecek ve PayPal UK sitesine yönlendirileceksiniz"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Express Checkout and Order have been canceled.","Ekspres Ödeme ve Sipariş iptal edildi."
"Express Checkout has been canceled.","Ekspres Ödeme iptal edildi."
"Fetch","Al"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal Express Checkout (Payflow Edition) Kısayol Kaplayıcı"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout anahtar verisi bulunamadı."
"PayPal Express Order Review Form","PayPal Express Sipariş Önizleme"
"PayPal Settlement Reports","PayPal Yerleşim Raporları"
"Reports","Raporlar"
"Sales","Satışlar"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Ekspres Ödeme iptal edilemiyor."
"Unable to initialize Express Checkout review.","Ekspres Ödeme önizlemesi açılamıyor."
"Unable to place the order.","Sipariş oluşturulamadı."
"Unable to process Express Checkout approval.","Ekspres Ödeme kabul kaydı oluşturulamadı."
"Unable to start Express Checkout.","Ekspres Ödeme başlatılamadı."
"Unable to update shipping method.","Teslimat yöntemi güncellenemedi."
"View","Göster"
"View Transaction","İşlem Göster"
"Wrong PayPal Express Checkout Token specified.","Hatalı Paypal Ekspres Ödeme anahtarı belirlendi."
"You will be redirected to the PayPal website in a few seconds.","Birkaç saniye içinde PayPal sayfasına yönlendirileceksiniz."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Payment has been declined. Please try again.","Ödeme alınamadı. Lütfen tekrar deneyiniz."
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
