"Enabled","Açık"
"Change Shipping Address","Teslimat Adresini Değiştir"
"Shipping Information","Teslimat Bilgisi"
"Shipping Method","Teslimat Yöntemi"
"Update Shipping Method","Teslimat Yöntemini Güncelle"
"Type","Tip"
"Proxy Host","Vekil Sunucu Adresi"
"Use Proxy","Vekil Sunucu Kullan"
"Proxy Port","Vekil Sunucu Portu"
"Visa","Visa"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Ekspres, Direkt)"
"Website Payments Standard","Website Payments Standart"
"New order status","Yeni sipariş durumu"
"N/A","Yok"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Customer returned from PayPal site.","Müşteri Paypal sitesinden geri döndü."
"Incl. Tax","Vergi Dahiş"
"Invoice #%s created","Fatura #%s oluşturuldu"
"Maximum image size is 750x90 px.","En büyük resim boyuru 750x90 pikseldir."
"No shipping method required.","Teslimat gerekmiyor."
"Page Style","Sayfa Biçimi"
"PayPal Express Checkout","PayPal Ekspres Ödeme"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standart"
"Paypal IPN Invalid %s.","Paypal IPN Hatalı %s."
"Paypal Logo Image URL","Paypal Logo Dosyası Adresi"
"Paypal URL","Paypal Adresi"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro ve Express Ödeme (API İmzası)"
"You will be redirected to Paypal in a few seconds.","Birkaç saniye içinde PayPal sitesine yönlendirileceksiniz."
"--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Örnek: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Gönder butonunun değerine göre &lt;user_action&gt; alanı 'commit' veya 'continue' şeklinde değer alır."
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Acceptance Mark Image","Kabul İşareti Resmi"
"Address not checked, or acquirer had no response. Service not available.","Adres kontrol edilmedi, veya alıcı cevap vermedi. Hizmet kullanılabilir durumda değil."
"All the address information matched.","Adres bilgisi eşleşti."
"Authorization expired.","Doğrulama süresi doldu."
"Authorization was voided by merchant.","Doğrulama işlemi satıcı tarafından iptal edildi."
"Cardholder\'s bank doesn\'t support address verification","Kart sahibinin bankası adres doğrulamayı desteklemiyor"
"Centinel 3D Secure Enabled","Centinel 3D Secure Açık"
"Centinel Map Url","Centinel Harita Adresi"
"Centinel Merchant Id","Centinel Satıcı No"
"Centinel Password","Centinel Şifresi"
"Centinel Processor Id","Centinel İşleyici No"
"Centinel Timeout Connection","Centinel Bağlantı Zaman Aşımı"
"Centinel Timeout Read","Centinel Okuma Zaman Aşımı"
"Customer failed to pay.","Müşteri ödeme yaparken hata oluştu."
"Customer used non-confirmed address.","Müşteri, doğrulanmamış bir adres kullandı."
"Debit or Credit Card","Ön Ödemeli Kart veya Kredi Kartı"
"Discount","İndirim"
"Dynamic","Dinamik"
"Dynamic Button Type","Dinamik Buton Tipi"
"Dynamic Image, PayPal Express Only.","Dinamik resim, Sadece Paypal Ekspres."
"Email Copy of Invoice","Faturanın E-Mail Kopyası"
"Example: <b> https://www.paypal.com/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Örnek : <b> https://www.paypal.com/cgi-bin/webscr?cmd=_express-checkout&useraction=<kullanici_islemi>&amp;token=</b>  &lt;kullanici_islemi&gt; alanı için 'commit' veya 'continue' işlemi, gönderme butonunuzun adına bağlı olarak değişir."
"Explanation: %s.","Açıklama : %s."
"Express Checkout Button Flavors","Ekspres Ödeme Butonu Renkleri"
"Express Checkout for auctions","Açık artırma için Ekspres Ödeme"
"Failure: %s","Hata : %s"
"Fraud Management Filters","Sahtekarlık Önleme Yönetimi Filtreleri"
"IPN verification ""%s"".","IPN doğrulaması ""%s""."
"Invalid Shipping Method","Hatalı Teslimat Yöntemi"
"Line Item Enabled","Satır Kaydı Aktif"
"Maestro/Solo","Maestro/Solo"
"Matched","Eşleşti"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Satıcı hesabı para çekmeye uygun değil. Satıcı bu ödemeyi kendi Paypal hesabından elle onaylamalıdır."
"Merchant account is not verified.","Satıcı hesabı doğrulanmadı."
"Merchant denied this pending payment.","Satıcı bu bekleyen ödemeyi reddetti."
"Merchant has indicated that CVV2 is not present on card","Satıcı bu kart üzerinde CVV2 bilgisi olmadığını onayladı"
"Merchant must upgrade account to Business or Premier status.","Satıcı hesabını Business veya Premier olarak güncellemelidir."
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Çoklu döviz sorunu. Satıcı bu ödemeyi kendi Paypal hesabından elle onaylamalıdır."
"No match","Eşleşme yok"
"No refund transaction ID found or wrong amount.","İade işlem numarası veya işlem toplamı hatalı."
"No response","Cevap yok"
"None of the address information matched.","Adres bilgisi eşleşmedi."
"Normal Express Checkout","Normal Ekspres Ödeme"
"Not processed","İşlenmedi"
"Not supported currency code %s.","Desteklenmeyen para birimi %s."
"Notified customer about creditmemo #%s.","#%s Müşteri alacak kaydı için müşteri bilgilendirildi."
"Notified customer about invoice #%s.","#%s fatura için müşteri bilgilendirildi."
"Order is completed. As soon as the Bank transfers money, the Order Items will be shipped.","Sipariş tamamlandı. Banka hesabımıza ödemeniz ulaştığında, siparişiniz kargoya verilecektir."
"Part of the address information matched.","Adres bilgisi kısmen eşleşti."
"PayPal","PayPal"
"PayPal Account","PayPal Hesabo"
"PayPal Checkout","PayPal Ödemesi"
"PayPal Express Order Review Form","PayPal Ekspres Sipariş Önizleme Formu"
"PayPal Express and PayPal Express Payflow Edition Only. Sets the Background Color For the Header of the Payment Page. By Default, the Color is White.<br />Six Character HTML Hexadecimal Color Code in ASCII","Sadece PayPal Ekspres ve PayPal Ekspres Payflow sürümü. Ödeme sayfasının başlık kısmının rengini değiştirir. Normalde bu renk beyazdır.<br />6 karakterli renk kodu kullanınız"
"PayPal Express and PayPal Express Payflow Edition Only. Sets the Background Color for the Payment Page. By Default, the Color is White.<br />Six Character HTML Hexadecimal Color Code in ASCII","Sadece PayPal Ekspres ve PayPal Ekspres Payflow sürümü. Ödeme sayfasının arka plan rengini değiştirir. Normalde bu renk beyazdır.<br />6 karakterli renk kodu kullanınız"
"PayPal Express and PayPal Express Payflow Edition Only. Sets the Border Color Around the Header of the Payment Page. The Border is a 2-pixel Perimeter Around the Header Space, Which is 750 Pixels Wide by 90 Pixels High. The PayPal Default Color is White.<br />Six Character HTML Hexadecimal Color Code in ASCII","Sadece PayPal Ekspres ve PayPal Ekspres Payflow sürümü. Ödeme sayfası başlığının kenar çerçeve rengini değiştirir. Bu çerçeve 750 x 90 Pixels boyutlarındadır. Normalde bu renk beyazdır.<br />6 karakterli renk kodu kullanınız"
"PayPal Express and PayPal Express Payflow Edition Only. URL for the Image You Want to Appear at the Top Left of the Payment Page. The Image has a Maximum Size of 750 Pixels Wide by 90 Pixels High. Image Should Be Stored on a Secure Server (https).>","Sadece PayPal Ekspres ve PayPal Ekspres Payflow sürümü. Ödeme sayfasının sol üst kısmında çıkacak logo resminin adresi. Bu resim en fazla 750x90 Piksel boyutunda olmalıdır ve SSL destekli alanda barındırılmalıdır.>"
"PayPal Express processing: %s","PayPal Ekspres işleniyor : %s"
"PayPal IPN postback HTTP error: %s","PayPal IPN geri dönüş HTTP hatası : %s"
"PayPal IPN postback Validation error: %s","PayPal IPN geri dönüş Doğrulama hatası : %s"
"PayPal Standard Logo Image URL","PayPal Standart Logo Resim Adresi"
"PayPal Style Configuration","PayPal Stil Ayarları"
"PayPal URL","PayPal Adresi"
"PayPal gateway returned error: %s.","PayPal hata döndürdü : %s."
"Payment is being reviewed by PayPal for risk.","PayPal bu ödemeyi risk kontrolünden geçirecek."
"Payment was made to an email address that is not yet registered or confirmed.","Ödeme kaydedilmemiş ve doğrulanmamış bir e-mail adresine yapıldı."
"Paypage Background Color","Ödeme Sayfası Arka Plan Rengi"
"Paypage Border Color","Ödeme Sayfası Çerçeve Rengi"
"Paypage Header Background Color","Ödeme Sayfası Başlık Arka Plan Rengi"
"Paypage Image","Ödeme Sayfası Resmi"
"Pending PayPal","PayPal Bekleniyor"
"Please contact PayPal Customer Service.","Lütfen PayPal Müşteri Hizmetleri ile iletişime geçin."
"Requested %s and configured %s merchant emails do not match.","İstek %s ve %s satıcı e-mail adresleri eşleşmiyor."
"Service not available","Hizmet kullanım dışı"
"Service not supported","Hizmet desteklenmiyor"
"Sets the Custom Payment Page Style for Payment Pages Associated With this Button/link. This Value Corresponds to the HTML Variable page_style for Pustomizing Payment Pages. The Value is the Same as the Page Style Name You Chose when Adding or Editing the Page Style from the Profile Subtab of the My Account tab of Your PayPal Account.Character Length and Limitations: 30 single-byte Alphabetic Characters.","Bu buton/link'le bağlantılı ödeme sayfasını özelleştirir. Bu değer Ödeme Sayfalarını Özelleştiren page_style değişkenine karşılık gelir. Bu değer Paypal Hesabınızdaki Hesabım / Profil / Sayfa Stili bölümündeki Sayfa Stili Adı ile aynıdır. Karakter tipi ve uzunluğu limitleri : 30 Alfabetik karakter."
"Standard","Standart"
"Static","Statik"
"The merchant did not provide AVS information. Not processed.","Satıcı AVS bilgisi sağlamadı. İşlem yapılmadı."
"The merchant has not implemented CVV2 code handling","Satıcı CVV2 kod alımını kullanmıyor"
"There was an error connecting to the PayPal server: %s","PayPal sunucusuna bağlanılamadı : %s"
"There was an error during communication with PayPal: %s - %s","PayPal ile iletişimde sorun oluştu : %s - %s"
"There was an error processing your order. Please contact us.","Siparişiniz işlenirken sorun oluştu. Lütfen bize ulaşınız."
"Type of checkout flow","Ödeme akış tipi"
"Unable to communicate with PayPal gateway.","Paypal ile iletişimde sorun oluştu."
"Unknown API error #%s","Bilinmeyen API hatası #%s"
"Visible on Shopping Cart Page","Sepet Sayfasında gözükür"
"Waiting until Customer\'s eCheck will be cleared.","Müşterinin eCheck'inin temizlenmesi bekleniyor."
"Wrong Order ID (%s) specified.","Hatalı Sipariş No (%s) belirtildi."
"Wrong Order ID.","Hatalı Sipariş No."
"You will be redirected to PayPal in a few seconds.","Birkaç saniye içinde PayPal sistemine yönlendirileceksiniz."
"You will be redirected to PayPal website when you place an order.","Siparişi tamamlamak için PayPal sistemine yönlendirileceksiniz."
"Your billing address will be ignored and you will be redirected to PayPal website","Fatura adresiniz görmezden gelinecek ve PayPal sistemine yönlendirileceksiniz."
"chargeback reimbursed","iade ibraz edildi"
"chargeback settled","ibraz kaydedildi"
"customer complaint","müşteri şikayeti"
"customer triggered a chargeback","müşteri ücret iadesi istedi"
"customer triggered money-back guarantee","müşteri ücret iade garantisi istedi"
"merchant refunded payment","satıcı ödemeyi iade etti"
"no reason","sebep yok"
"reversal of an adjustment","bir ayarlamanın ters çevrimi yapıldı"
"unknown reason","bilinmeyen sebep"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"-OR-","-VEYA-"
"2-pixel perimeter around the header space.","Başlık alanına 2 piksel boşluk bırak."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Kart Onayı"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro kartlar için 3D Secure onayı gerekmektedir. Amerikan Ekspres kartları ek anlaşma yapılması gerekmekyedir. Detaylı bilgi için <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Paypal ile ödeme kabul etmeye başlayın!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Gerçek ortam moduna geçmek için değer gerekiyor. CardinalCommerce sözleşmenize bakınız."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Depoziti (İhtilaf veya sahte ödeme durumları için)"
"ACH Deposit (Reversal)","ACH Depoziti (Ters)"
"ACH Funding for Funds Recovery from Account Balance","Garanti Fonuna payı için ACH Fonuna Hesaptan düşülecek miktar"
"ACH Withdrawal","ACH Para Çekme"
"API Username","API Kullanıcı Adı"
"API Uses Proxy","API Geçit Kullanır"
"API/Integration","API/Entegrasyon"
"API/Integration Settings","API/Entegrasyon Ayarları"
"Ability for buyer to purchase without PayPal account.","Paypal hesabı olmayan müşteriler de ödeme yapabilsin."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Paypal ödemelerini direk sepette kabul et. Paypal Kredi Kartı tahsilatınızı Payflow Pro üzerinden yapacaktır."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Müşteri siteden ayrılmadan ödeme almaya izin ver. Bir çok yazılım içinde Payflow modülü ile gelir."
"Acceptance Mark","Kabul İşareti"
"Account-to-Account Payment, initiated by PayPal","Hesaptan hesaba ödeme Paypal tarafından başlatıldı"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Ekspres ödeme alabilmek için sitenize/sepetinize Ekspres Ödeme butonu koyabilirsiniz."
"Additional Options","Ek Seçenekler"
"Address Verification System Response","Adres Doğrulama Sistemi Cevabı"
"All the address information matched","Bütün Adres Bilgileri Eşleşti"
"Allow in Billing Agreement Wizard","Ödeme Anlaşma Sihirbazında yer alsın"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","İzin verilen değerler : ""paypal"", ""primary"" (varsayılan), sizin_belirlediginiz_deger (PayPal profilinizde belirlediğiniz özel sayfa stili)."
"Allowed Credit Card Types","Kullanılabilen Kart Tipleri"
"Also affects mini-shopping cart.","Mini sepeti de etkiler."
"Api/Integration","Api/Entegrasyon"
"Ask Customer","Müşteriye Sor"
"Attempted Authentication, Bad Result","Doğrulama denemesi, Negatif sonuçlandı"
"Attempted Authentication, Good Result","Doğrulama denemesi, Başarıyla doğrulandı"
"Auction Payment other than through eBay","eBay dışında bir Açık Artırma Ödemesi"
"Authenticated, Bad Result","Doğrulandı, Negatif Sonuç"
"Authenticated, Good Result","Doğrulandı, Başarılı Doğrulama"
"Authorization transaction is required to void.","İptal için kimlik doğrulaması işlemi gerekiyor."
"Auto","Otomatik"
"AutoSweep","OtoTemizle"
"Available Balance","Kullanılabilir Bakiye"
"Balance Manager Account Bonus","Bakiye Yöneticisi Hesabı"
"Billing Address","Fatura Adresi"
"Billing Agreement Signup ","Ödeme Sözleşmesi Üyeliği"
"Bonus for first ACH Use","İlk ACH Kullanımı için Bonus"
"Buyer Credit Payment","Müşteri Kredisinden Ödeme"
"By default it is ""reports.paypal.com"".","Varsayılan değer ""reports.paypal.com""."
"CVV2 Check Result by PayPal","Paypal tarafından sağlanan CVV2 Kontrol Sonucu"
"Cannot create target file for reading reports.","Raporları okumak için oluşturulması gereken dosya oluşturulamadı."
"Centinel API URL","Centinel API Adresi"
"Centinel Api URL","Centinel Api Adresi"
"Centinel Custom Api URL","Centinel Özel Api Adresi"
"Charge-off","Ödeme Kesintisi"
"Chargeback","Geri Ödeme"
"Chargeback by customer.","Müşteri tarafından istenen Geri Ödeme."
"Checkout with PayPal","PayPal ile Öde"
"Completion Date","Tamamlanma Tarihi"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Yeni raporları almak için PayPal SFTP sunucusuna bağlanılacak. Emin misiniz ?"
"Countries Payment Applicable From","Ödeme Kabul Edilen Ülkeler"
"Coupon Redemption","Kupon Beklemede"
"Credit","Kredi"
"Credit Card Settings","Kredi Kartı Ayarları"
"Currency Conversion required to cover negative balance","Negatif bakiyeyi kapatmak için Döviz Çevrimi gerekiyor"
"Custom","Özel"
"Custom Endpoint Hostname or IP-Address","Özel Sunucu Adresi veya IP Adresi"
"Custom Path","Özel Dosya Yolu"
"Customer complaint.","Müşteri şikayeti."
"Customer did not include a confirmed address.","Müşteri doğrulanmış bir adres girmedi."
"Customer triggered a money-back guarantee.","Müşteri ücret iade garantisi istedi."
"Daily","Günlük"
"Debit","Debit Kartı"
"Debit Card Cash Back","Debit Kartı Geri Ödemesi"
"Debit Card Transaction","Debit Kart İşlemi"
"Debit or Credit","Debit veya Kredi Kartı"
"Debug Mode","Hata Ayıklama Modu"
"Direct Payment API","Direkt Ödeme APIsi"
"Displays on catalog pages and homepage.","Katalog sayfalarında ve Ana sayfada gözükür."
"Does not work if there are more than 10 shipping options available.","10 taneden fazla teslimat metodu varsa çalışmaz."
"Don't have a PayPal account? Simply enter your email address.","PayPal hesabınız yok mu ? Sadece e-mail adresinizi girmeniz yeterli."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Paypal Ticari Hesabınız yok mu ? Payflow Pro ile kredi kartlarından ödeme kabul edebilirsiniz."
"EFT Funding (German banking)","EFT Ödemesi (Alman Bankaları için)"
"Email Associated with PayPal Merchant Account","Email Adresi PayPal Ticari Hesapla Bağlantılı"
"Enable Automatic Fetching","Otomatik Almayı Etkinleştir"
"Enable PayPal Guest Checkout","PayPal Misafir Ödemesini Etkinleştir"
"Event","Olay"
"Event Code","Olay Kodu"
"Every 10 days","Her 10 günde bir"
"Every 14 days","Her 14 günde bir"
"Every 3 days","Her 3 günde bir"
"Every 30 days","Her 30 günde bir"
"Every 40 days","Her 40 günde bir"
"Every 7 days","Her 7 günde bir"
"Exact Match. Address and Postal Code. International","Tam Eşleme. Adres ve Posta Kodu. Uluslararası"
"Exact Match. Address and Postal Code. UK-specific","Tam Eşleme. Adres ve Posta Kodu. Sadece İngiltere"
"Exact Match. Address and nine-digit ZIP code","Tam Eşleme. Adres ve 9 haneli Posta kodu"
"Express Checkout","Ekspres Ödeme"
"Express Checkout (Payflow Edition) Settings","Ekspres Ödeme (Payflow tipi) Ayarları"
"Express Checkout APIs","Ekspres Ödeme APIleri"
"Express Checkout Settings","Ekspres Ödeme Ayarları"
"Express Checkout and Order have been canceled.","Ekspres Ödeme ve Sipariş iptal edildi."
"Express Checkout has been canceled.","Ekspres Ödeme iptal edildi."
"Failed to fetch reports from '%s@%s'.","'%s@%s' adresinden raporlar alınamadı."
"Fee Amount","Ücret Toplamı"
"Fee Debit or Credit","Ücret Debit veya Kredi"
"Fee Reversal","Ücret Geri Ödeme"
"Fee: Foreign ACH Withdrawal","Ücret: Yabancı ACH Para Çekimi"
"Fee: Mass Pay Request","Ücret: Toplu Ödeme İsteği"
"Fee: Web Site Payments Pro Account Monthly","Ücret: Web Site Payments Pro Hesabı için Aylık Ücret"
"Fee: WorldLink Check Withdrawal","Ücret: WorldLink Çek ödemesi"
"Fetch","Al"
"Fetch Updates","Güncellemeleri Al"
"Fetched %s report rows from '%s@%s'.","%s raporu '%s@%s' konumundan alındı."
"Frontend Experience Settings","Ön Sayfa Ayarları"
"Funding","Para Ekleme"
"General (Authorization)","Genel (Kimlik Onayı)"
"General (Dividend)","Genel (Pay)"
"General (Funds Transfer from PayPal Account to Another)","Genel (Bir PayPal hesabından diğerine Aktarılan Para)"
"General (Purchase with a credit card)","Genel (Kredi Kartıyla Ödeme)"
"General Adjustment without businessrelated event","Genel Ayarlama (işle alakalı olmayan bir olay nedeniyle)"
"General Currency Conversion","Genel Döviz Çevrimi"
"General Funding of PayPal Account ","Genel PayPal Hesabına Para Ekleme"
"General Redemption","Genel Geri Alma"
"General Withdrawal from PayPal Account","Genel Paypal Hesabından Para Çekme"
"General. Product no longer supported","Genel. Ürün desteklenmiyor"
"General: Use of PayPal account for purchasing as well as receiving payments","Genel: PayPal hesabının ödeme yapma ve para tahsilatı için kullanılması"
"General: Withdrawal from PayPal Account","Genel: Paypal Hesabından Para Çekme"
"General: Withdrawal to Non-Bank Entity","Genel: Banka olmayan bir kurum üzerinden Para Çekme"
"General: adjustment of a type not belonging to the other T12xx categories","Genel: Diğer T12xx kategorilerine ait olmayan tipte ayarlama"
"General: bonus of a type not belonging to the other T08xx categories","Genel: Diğer T08xx kategorilerine ait olmayan tipte kazanç"
"General: event not yet categorized","Genel: olay kategorize edilmedi"
"General: non-payment fee of a type not belonging to the other T01xx categories","Genel: Diğer T01xx kategorilerine ait olmayan tipte tahsilat komisyonu olmayan ücret"
"General: received payment of a type not belonging to the other T00xx categories","Genel: Diğer T00xx kategorilerine ait olmayan tipte yapılmış tahsilat"
"General: reversal of a type not belonging to the other T11xx categories","Genel: Diğer T11xx kategorilerine ait olmayan tipte ücret iadesi"
"General: temporary hold of a type not belonging to the other T15xx categories","Genel: Diğer T15xx kategorilerine ait olmayan tipte geçici askıya alma"
"Get Credentials from PayPal","Bilgileri PayPaldan al"
"Gift Certificate Payment: purchase of Gift Certificate","Hediye Çeki Ödemesi: Hediye Çeki satın alındı"
"Gift Certificate Redemption","Hediye Çeki Kurtarma"
"Gross Amount","Brüt Toplam"
"Header Background Color","Başlık Arka Plan Rengi"
"Header Border Color","Başlık Çerçeve Rengi"
"Header Image URL","Başlık Resim Adresi"
"Help","Yardım"
"Hidden Virtual PayPal Debit Card Transaction","Gizli Sanal Paypal Debit Kart İşlemi"
"Hold for Dispute Investigation","İhtilaf araştırması için Askıda"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Boş bırakırsanız varsayılan değer kullanılır. Özel adres CardinalCommerce sözleşmesinin içinde yer almaktadır."
"If not specified, Default Country from General Config will be used","Eğer veri girmezseniz, ana ayarlardaki varsayılan ülke kullanılacaktır"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Bu seçenek aktifse, müşteri teslimat yöntemini ve teslimat adresini PayPal sitesindeyken değiştirebilir. Gerçek modda iken sadece HTTPS ile çalışır."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Para tahsili işlemi olmayan bir işleme iade isteyemezsiniz."
"Incentive","İstek"
"Initiation Date","Davet Tarihi"
"Invoice ID","Fatura No"
"Issuer Liability","Kart Sağlayıcı Sorumluluğu"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Bu değeri her mağaza görünümü için ""Debit veya Kredi Kartı"" olarak ayarlamanız tavsiye edilir."
"It is recommended to set this value to ""PayPal"" per store views.","Bu değeri her mağaza görünümü için ""PayPal"" olarak ayarlamanız tavsiye edilir."
"Last Correlation ID","Son İlişki No"
"Last Transaction ID","Son İşlem No"
"Learn More","Daha Fazla Bilgi"
"Login","Giriş"
"Looking for PayPal? We have our own tab to the left under Sales.","PayPal'i mi arıyorsunuz ? Satış sekmesinin altında PayPal için ayrı bir bölüm göreceksiniz."
"Mass Pay Payment","Toplu Tahsilat İşlemi"
"Matched (CVV2)","Eşleşti (CVV2)"
"Matched (CVV2CSC)","Eşleşti (CVV2CSC)"
"Matched Address only (no ZIP)","Sadece Adres Eşleşti (Posta Kodu yok)"
"Matched Address only (no ZIP). International","Sadece Adres Eşleşti (Posta Kodu yok). Uluslararası"
"Matched Postal Code only (no Address)","Sadece Posta Kodu Eşleşti (Adres yok)"
"Matched five-digit ZIP only (no Address)","Sadece 5 haneli Posta Kodu Eşleşti (Adres yok)"
"Matched whole nine-didgit ZIP (no Address)","9 haneli Posta Kodu Eşleşti (Adres yok)"
"Merchant Account","Satıcı Hesabı"
"Merchant Country","Satıcı Ülkesi"
