"--Please Select--","-- Lütfen Seçiniz --"
"Overrides API URL that may be specified by a payment method.","Ödeme yöntemi tarafından belirlenen API URL adresini değiştirir."
"Password","Şifre"
"Payment Method","Ödeme Yöntemi"
"Payment Reference ID","Ödeme Referans Numarası"
"Payment Services","Ödeme Hizmetleri"
"Payment from Applicable Countries","İzin Verilen Tüm Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçili Ülkelerden Tahsilat"
"Payment method code is not set.","Ödeme yöntemi kodu ayarlanmadı."
"Payment method code is undefined.","Ödeme yöntemi kodu ayarlanmadı."
"Payment profile is invalid:\n%s","Ödeme profili hatalı :\n%s"
"Period frequency is wrong.","Periyod sıklığı hatalı."
"Processor Id","İşleyici No"
"Purchase Order","Direk Satınalma"
"Purchase Order Number:","Direk Satınalma No:"
"Recurring Profile Start Date","Periyodik Ödeme Başlangıç Tarihi"
"Recurring profile start date has invalid format.","Periyodik Ödeme Başlangıç Tarihi hatalı biçimde."
"Reference ID is not set.","Referans no ayarlanmadı."
"Repeats %s time(s).","%s defa tekrarlanır."
"Repeats until suspended or canceled.","Beklemeye alınana veya iptal edilene kadar tekrarlanır."
"Request Card Security Code","Kart Güvenlik Numarası İste"
"Schedule Description","Zamanlama Açıklaması"
"Schedule description must be not empty.","Zamanlama açıklaması boş bırakılamaz."
"Severe 3D Secure Card Validation","Kesin 3D Secure Kart Doğrulaması"
"Severe validation removes chargeback liability on merchant.","Kesin doğrulama satıcının para iadesi oranını çok düşüren bir uygulamadır."
"Shipping Amount","Teslimat Ücreti"
"Short description of the recurring payment. By default equals to the product name.","Periyodik ödeme için kısa açıklama. Varsayılan değer ürün adıdır."
"Sort Order","Sıralama"
"Start Date","Başlangıç Tarihi"
"Start date has invalid format.","Başlangıç Tarihinin biçimi hatalı."
"Start date is undefined.","Başlangıç Tarihi belirlenmedi."
"Subscriber Name","Abone Adı"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Durum No"
"Switch/Solo/Maestro Only","Sadece Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Tarihi"
"Tax Amount","Vergi Toplamı"
"Test Mode","Test Modu"
"The date when billing for the profile begins.","Profil için ödeme oluşurma tarihi."
"The number of billing cycles for payment period.","Ödeme periyodu içindeki ödeme adedi."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Profil beklemeye alınmadan önce izin verilen ödeme hatası sayısı."
"The payment review action is unavailable.","Ödeme yorumlama işlemine izin verilmiyor."
"Trial Billing Amount","Deneme Süresi için Ücret"
"Trial Billing Frequency","Deneme Süresi Sıklığı"
"Trial Billing Period Unit","Deneme süresi periyod birimi"
"Trial Period","Deneme Süresi"
"Trial billing amount is wrong.","Deneme süresi ücreti hatalı."
"Trial billing period unit is wrong.","Deneme süresi periyod birimi hatalı."
"Trial period frequency is wrong.","Deneme süresi sıklığı hatalı."
"Trial period max cycles is wrong.","Deneme süresi periyod adedi hatalı."
"Two Weeks","İki hafta"
"Unable to save Billing Agreement:","Ödeme Sözleşmesi kaydedilemedi :"
"Unit for billing during the subscription period.","Abonelik süresince yapılacak ödemelerin birimi."
"Unsupported currency code: %s.","Desteklenmeyen para birimi : %s."
"Week","Hafta"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Başlangıç ücreti alınamadıysa profili durdur veya yapılmamış ödemelere ekle."
"Wrong %s specified.","Hatalı %s belirlendi."
"Wrong or empty billing amount specified.","Hatalı veya boş ücret toplamı belirtildi."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Merchant ID","Satıcı (Merchant) No"
"Processor ID","İşleyici (Processor) No"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Authorize action is not available.","Kimlik onayı işlemi kullanılabilir değil."
"Cannot retrieve the payment information object instance.","Nesneden ödeme bilgisi çekilemedi."
"Cannot retrieve the payment method code.","Ödeme yöntemi kodu alınamadı."
"Capture action is not available.","Ödeme alma işlemi kullanılabilir değil."
"Credit card number mismatch with credit card type.","Kredi kartı numarası ile tipi eşleşmiyor."
"Credit card type is not allowed for this payment method.","Bu ödeme yöntemi için bu kredi kart tipine izin verilmiyor."
"Incorrect credit card expiration date.","Kredi kartı son kullanım tarihi hatalı."
"Invalid Credit Card Number","Kredi Kartı Numarası Hatalı"
"Order action is not available.","Sipariş işlemi kullanılabilir değil."
"Please enter a valid credit card verification number.","Lütfen geçerli bir kredi kartı numarası giriniz."
"Refund action is not available.","İade işlemi kullanılabilir değil."
"Selected payment type is not allowed for billing country.","Seçtiğiniz ödeme tipi fatura ülkesi için kullanılamaz."
"Void action is not available.","İptal işlemi kullanılabilir değil."
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Bank Transfer Payment","Banka Havalesi ile Ödeme"
"Cash On Delivery Payment","Kapıda Ödeme"
"Instructions","Talimatlar"
"The requested Payment Method is not available.","Seçtiğiniz Ödeme Yöntemi kullanılamıyor."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
