"Add New Row","Yeni Satır Ekle"
"Can\'t connect to remote host, error: %s","Uzak sunucuya bağlanılamadı, hata : %s"
"Sorry, there was an error getting requested content","İstenen içeriğin alınması esnasında bir hata oluştu"
"--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"You have not purchased any downloadable products yet.","Hiç indirilebilir ürün satın almadınız."
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Availability:","Stok durumu :"
"Catalog Product View (Downloadable)","Katalog Ürün Görünümü (İndirilebilir)"
"Customer My Account Downloadable Items","Müşteri Hesabım İndirilebilir Ürünler"
"In stock","Stokta VAR"
"Move to Wishlist","Takip Listeme Ekle"
"Out of stock","Stokta YOK"
"Qty","Adet"
"Remove Item","Ürünü Sil"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanümerik karakterler, nokta ve alt çizgi dosya adları için tavsiye edilen karakterlerdir. Bu kurala uygun olmayan karakterler \'_\' ile değiştirilecektir."
"An error occurred while getting requested content. Please contact the store owner.","İstenen içeriği almaya çalışırken sorun oluştu. Lütfen site yönetimi ile irtibata geçiniz."
"An error occurred while getting the requested content.","İstenen içeriği almaya çalışırken sorun oluştu."
"An error occurred while getting the requested content. Please contact the store owner.","İstenen içeriği almaya çalışırken sorun oluştu. Lütfen site yönetimi ile irtibata geçiniz."
"Cannot connect to remote host, error: %s.","Uzak sunucuya bağlanılamadı, oluşan hata : %s."
"Disable Guest Checkout if Cart Contains Downloadable Items","Eğer sepette İndirilebilir Ürün ( dosya vs. ) varsa misafir olarak alışverişi tamamlamaya izin verme"
"Guest checkout will only work with shareable.","Misafir olarak alışverişi bitirme sadece paylaşılanlarda çalışır."
"Invalid download URL host.","Dosya indirme bağlantısında hatalı sunucu adı."
"Invalid download URL scheme.","Dosya indirme bağlantısında hatalı adres şekli."
"Invalid download link type.","Dosya indirme bağlantısında hatalı adres tipi."
"Order Item Status to Enable Downloads","İndirmeye izin vermek için Sipariş satırı durumu"
"Please set resource file and link type.","Lütfen kaynak dosya ve bağlantı tipini ayarlayınız."
"Requested link does not exist.","İstenen bağlantı adresine ulaşılamadı."
"The file does not exist.","Dosya bulunamadı."
"The link has expired.","Bağlantının kullanım süresi doldu."
"The link is not available.","Bağlantı kaydı bulunamadı."
"Use Content-Disposition","Content-Disposition Kullan"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Edit","Düzelt"
"Edit item parameters","Kayıt parametrelerini düzenle"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.1.0 2011-05-10 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Order id cannot be null","Sipariş no alanı boş olmamalıdır"
"Order item id cannot be null","Sipariş satır numarası boş olmamalıdır"
"--------------- v 1.5.1.0 2011-05-10 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Delete","Sil"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bak."
"Use Default Value","Varsayılan Değeri Kullan"
"What's this?","Bu nedir?"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-11-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Add","Ekle"
"Add links and samples to downloadable product","İndirilebilir ürün için örnek bağlantılar ve örnekler ekle"
"Category API","Kategori APIsi"
"List","Liste"
"Product downloadable links","Ürün indirme bağlantıları"
"Remove","Kaldır"
"Remove links and samples from downloadable product","İndirilebilir üründen bağlantıları ve örnekleri kaldır"
"Retrieve links and samples list from downloadable product","İndirilebilir üründen bağlantı ve örnek listelerini kaldır"
"--------------- v 1.6.0.0-rc2 2011-11-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.2.0 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"There are files that were selected but not uploaded yet. Please upload or remove them first","Seçilmiş ancak yüklenmemiş dosyalar var. Lütfen bu dosyaları yükleyin veya listeden silin"
"--------------- v 1.6.2.0 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Dosyayı indirmek veye ürün satın almak için lütfen giriş yapınız : <a href=""%s"">%s</a>."
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Downloadable Product Section","İndirilebilir Ürün Bölümü"
"Move","Taşı"
"Sorry, there was an error getting requested content. Please contact the store owner.","Üzgünüz, ulaşmaya çalıştığınız içeriğe ulaşılamıyor. Lütfen site yönetimi ile irtibata geçiniz."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
