"Loaded %d records"," %d kayıt yüklendi"
"--------------- v 1.3 2009-04-01 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","'%s' özellik kodu sistem tarafından ayrılmış. Lütfen başka bir kod kullanınız."
"--------------- v 1.3 2009-04-01 SONU --------------------","////////////////////////////////////////////////////////////////////////""--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Ürün Listesi Sıralama Seçenekleri arasında Varsayılan Ürün Sıralama Tipi belirtilmemiş"
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Add Option","Özellik Ekle"
"Attribute Code","Seçenek Kodu"
"Attribute Label","Özellik Adı"
"Attribute Properties","Özellik Ayarları"
"Catalog Input Type for Store Owner","Mağaza Sahibi için Giriş Tipi"
"Date","Tarih"
"Decimal Number","Ondalıklı Sayı"
"Default value","Varsayılan değer"
"Delete","Sil"
"Dropdown","Açılır Menü"
"Email","Email"
"For internal use. Must be unique with no spaces","İç kullanım içindir. Eşsiz olmalı ve boşluk içermemelidir"
"Form Element with the same attribute","Aynı özellikle Form Elemanı"
"Form Fieldset with the same code","Aynı kodla Form Fieldset"
"Form Type with the same code","Aynı kodla Form Tipi"
"Input Validation for Store Owner","Yöneticiler için Veri Giriş Kontrolü"
"Integer Number","Tamsayı"
"Invalid EAV attribute","Hatalı EAV özelliği"
"Invalid form type","Hatalı form tipi"
"Letters","Harf"
"Letters(a-zA-Z) or Numbers(0-9)","Harf(a-zA-Z) veya Rakam(0-9)"
"Multiple Select","Çoklu seçme"
"None","Yok"
"Not shared with other products","Diğer ürünlerle paylaşılmasın"
"Required","Zorunlu"
"System","Sistem"
"Text Area","Yazı Kutusu ( Büyük )"
"Text Field","Yazı Kutusu"
"Unique Value","Eşsiz Değer"
"Unique Value (not shared with other products)","Eşsiz Değer (diğer ürünlerle paylaşılmasın)"
"Url","Adres"
"Values Required","Girilmesi zorunlu değerler"
"Yes/No","Evet/Hayır"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"A joint field with this alias (%s) is already declared.","(%s) takma adıyla birleşik bir alan zaten var."
"An error occurred while loading a record, aborting. Error: %s","Kayıt yüklenirken bir hata oluştu. Hata: %s"
"An error occurred while loading the collection, aborting. Error: %s","Koleksiyon yüklenirken bir hata oluştu. Hata: %s"
"An error occurred while saving a record, aborting. Error: ","Veri kaydedilirken bir hata oluştu. Hata: "
"Attempt to add an invalid object.","Hatalı nesne yüklenmeye çalışıldı."
"Attribute set with the ""%s"" name already exists.","""%s"" adında bir özellik seti zaten var."
"Data integrity: No header row found for attribute.","Veri doğrulaması : Bu özellik için başlık satırı bulunamadı."
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Ürünlerin Sıralama Şekli alanında Varsayılan Ürün Sırama Şekli verisi yok"
"Default Value","Varsayılan Değer"
"Default option value is not defined.","Varsayılan seçenek değeri belirlenmedi."
"Entity collection expected.","Kayıt koleksiyonu bekleniyor."
"Entity collections expected.","Kayıt koleksiyonları bekleniyor."
"Entity is not initialized.","Kayıt yüklenemedi."
"Frontend label is not defined.","Ön Sayfa başlığı belirlenmedi."
"Invalid EAV attribute.","Hatalı EAV özelliği."
"Invalid alias, already exists in joint attributes.","Hatalı takma ad, birleştirilmiş özelliklerde zaten var."
"Invalid attribute name: %s.","Hatalı özellik adı : %s."
"Invalid attribute type.","Hatalı özellik tipi."
"Invalid entity supplied.","Hatalı kayıt girildi."
"Invalid entity supplied: %s.","Hatalı kayıt girildi: %s."
"Invalid entity type.","Hatalı kayıt tipi."
"Invalid entity_id, skipping the record.","Hatalı entity_id, kayıt atlanıyor."
"Invalid foreign key.","Hatalı yabancı anahtar."
"Invalid form type.","Hatalı form tipi."
"Invalid joint fields.","Hatalı birleştirilmiş alan."
"Joined field with this alias is already declared.","Aynı takma adla bir birleştirilmiş alan zaten var."
"Joint field or attribute expression with this alias is already declared.","Aynı takma adla bir birleştirilmiş alan veya özellik ifadesi zaten var."
"Letters (a-z, A-Z) or Numbers (0-9)","Harfler (a-z, A-Z) veya Rakamlar (0-9)"
"Saved %d record(s).","%d kayıt işlendi."
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","Özellik kodu \'%s\', sistem tarafından rezerve edilmiş. Başka bir kod kelimesi kullanınız."
"The value of attribute ""%s"" must be unique.","""%s"" adlı özelliğin değeri eşsiz olmalıdır."
"This attribute is used in configurable products.","Bu özellik Ayarlanabilir Ürün oluştururken kullanılabilir."
"URL","URL"
"Unknown parameter.","Bilinmeyen parametre."
"Valid store_id is expected.","Geçerli bir store_id verisi bekleniyor."
"Wrong attribute ID.","Özellik No. alanında hatalı veri"
"Wrong attribute group ID.","Özellik Grubu No. alanında hatalı veri"
"Wrong attribute set ID.","Hatalı özellik seti numarası"
"Wrong entity ID.","Hatalı özellik numarası"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"""%s"" contains not only digit characters.","""%s"" harf dışı karakter içeriyor."
"""%s"" does not fit the entered date format.","""%s"" girilen tarih biçimine uygun değil."
"""%s"" exceeds the allowed file size.","""%s"" izin verilen dosya boyutunu aşıyor."
"""%s"" exceeds the allowed length.","""%s"" izin verilen boyutu aşıyor."
"""%s"" has not only alphabetic and digit characters.","""%s"" sadece harf ve rakamdan oluşmuyor."
"""%s"" has not only alphabetic characters.","""%s"" sadece harflerden oluşmuyor."
"""%s"" height exceeds allowed value of %s px.","""%s"" yüksekliği olması gereken değerden (%s px) büyük."
"""%s"" invalid type entered.","""%s"" hatalı tip girildi."
"""%s"" is a required value.","""%s"" zorunlu bir değerdir."
"""%s"" is an empty string.","""%s"" boş."
"""%s"" is not a valid URL.","""%s"" geçerli bir internet adresi değil."
"""%s"" is not a valid date.","""%s"" geçerli bir tarih değil."
"""%s"" is not a valid email address.","""%s"" geçerli bir e-mail adresi değil."
"""%s"" is not a valid file","""%s"" geçerli bir dosya değil"
"""%s"" is not a valid file extension.","""%s"" geçerli bir dosya uzantısı değil."
"""%s"" is not a valid file.","""%s"" geçerli bir dosya değil."
"""%s"" is not a valid hostname.","""%s"" geçerli bir sunucu adı değil."
"""%s"" is not a valid image format","""%s"" geçerli bir resim biçimi değil"
"""%s"" length must be equal or greater than %s characters.","""%s"" uzunluğu %s karakter veya daha fazla olmalı."
"""%s"" length must be equal or less than %s characters.","""%s"" uzunlupu %s karakter veya daha az olmalı."
"""%s"" width exceeds allowed value of %s px.","""%s"" genişliği olması gereken değerden (%s px) büyük.."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' bir DNS sunucu adı gibi gözüküyor ancak domain uzantısı kısmı ayıklanamıyor"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' bir DNS sunucu adı gibi gözüküyor ancak domain uzantısı kısmı bilinen uzantılar arasında yok"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' bir DNS sunucu adı gibi gözüküyor ancak alan adı kısmı bu domain uzantısı için gereken şekle uygun değil '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' bir DNS sunucu adı gibi gözüküyor ancak nokta karakteri gereken yerde değil"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' bir DNS sunucu adı gibi gözüküyor ancak verilen PunyCode notu çözülemedi"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' bir yerel ağ adı gibi gözüküyor ancak yerel ağ adları kabul edilemiyor"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' bir IP adresi gibi gözüküyor ancal IP adresleri kabul edilemiyor"
"'%value%' does not appear to be a valid URI hostname","'%value%' geçerli bir URI sunucu adı değil"
"'%value%' does not appear to be a valid local network name","'%value%' geçerli bir yerel ağ adı gibi gözükmüyor"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' DNS sunucu adı için gerekli yapıya sahip değil"
"A joint field with this alias (%s) is already declared","Aynı takma adla birleştirilmiş bir alan adı daha var"
"Attribute '%s' used in configurable products","Attribute '%s' ayarlanabilir ürünlerde kullanıldı"
"Attribute object is undefined","Özellik nesnesi ayarlanmadı"
"Can\'t create table: %s","Tablo oluşturulamadı : %s"
"Current module EAV entity is undefined","Mevcut mudül için EAV girişi ayarlanmamış"
"Current module pathname is undefined","Mevcut modülün dosya yolu ayarlanmamış"
"Entity instance is not defined","Kayıt örneği tanımlanmamış"
"Entity object is undefined","Kayıt nesnesi tanımlanmamış"
"Failed to load node %s from config","%s verisi ayarlardan okunamadı"
"Form code is not defined","Form kodu tanımlanmadı"
"Invalid alias, already exists in joint attributes","Hatalı takma ad, aynı adda bir özellik zaten var"
"Invalid date","Hatalı tarij"
"Invalid default date","Hatalı varsayılan tarih"
"Invalid default decimal value","Hatalı varsayılan ondalıklı değer"
"Invalid joint fields","Hatalı birleştirilmiş alanlar"
"Invalid type given. String expected","Verilen tip hatalı. Düz metin bekleniyor"
"Joint field or attribute expression with this alias is already declared","Bu takma adı ile ortak alan veya özellik ifadesi zaten var"
"Maximum length of attribute code must be less then %s symbols","Özellik kodu içinde %s adetten az sembol kullanılmalı"
"Source model ""%s"" not found for attribute ""%s""","""%s"" için kaynak modeli bulunamadı ""%s"""
"The attribute code \'%s\' is reserved by system. Please try another attribute code","\'%s\' özellik kodu sistem tarafından rezerve edilmiş. Lütfen başka bir kelime kullanınız."
"The value of attribute ""%s"" must be unique","""%s"" özelliğinin değeri eşsiz olmalıdır"
"This attribute is used in configurable products","Bu özellik ayarlalabilir ürünlerde kullanıldı"
"Wrong type definition for %s","%s için hatalı tip belirlendi"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","İç kullanım içindir. Eşsiz olmalıdır ve boşluk içermemelidir. Bu veri için en fazla %s karakter kullanabilirsiniz."
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Varsayılan Ürün Listeleme Sıralama Ölçüsü varolan seçenekler içinde yok."
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
