"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s takip listenize eklendi. Alışverişe devam etmek için <a href=""%2$s"">buraya tıklayın</a>"
"Can't save description %s","%s açıklaması kaydedilemiyor"
"Unable to add the following product(s) to shopping cart: %s.","Bu ürün(ler) sepete eklenemiyor : %s."
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s takip listenize eklendi. <a href=""%2$s"">Buraya</a> tıklayarak alışverişe devam edebilirsiniz"
"An error occurred while adding item to wishlist.","Takip listenize ürün eklenirken bir sorun oluştu."
"An error occurred while adding item to wishlist: %s","Takip listenize ürün eklenirken bir sorun oluştu: %s"
"An error occurred while deleting the item from wishlist.","Takip listenizden ürün silinirken bir sorun oluştu."
"An error occurred while deleting the item from wishlist: %s","Takip listenizden ürün silinirken bir sorun oluştu: %s"
"Can\'t update wishlist","Takip listesi güncelenemiyor"
"Cannot add the item to shopping cart.","Ürün sepete eklenemiyor."
"Cannot create wishlist.","Takip listesi oluşturulamıyor."
"Cannot specify product.","Ürün seçilmedi."
"Cannot specify wishlist.","Takip listesi seçilmedi."
"Cannot update wishlist","Takip listesi güncellenemiyor"
"My Wishlist <small>(%d)</small>","Takip Listem <small>(%d)</small>"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","%s adlı ürünler gruplandı. Ancak sepete sadece tek tek eklenebilir."
"Share Options","Paylaşım Seçenekleri"
"Your Wishlist has been shared.","Takip listeniz paylaşıldı."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%1$s has been updated in your wishlist.","Takip listenizdeki %1$s güncellendi."
"%s for ""%s"".","%s -> ""%s""."
"Add to Compare","Karşılaştırma Listesine Ekle"
"Added From","Eklendi"
"An error occurred while updating wishlist.","Takip listesi güncellenirken sorun oluştu."
"Can\'t delete item from wishlist","Takip listesinden ürün silinemedi"
"Cannot configure product","Ürün ayarlanamadı"
"Cannot load wishlist item","Takip listesi kaydı yüklenemedi"
"Cannot specify wishlist item.","Takip listesi kaydı belirtilmedi."
"Configure Wishlist Item","Takip listesi ürününü ayarla"
"Configured Price:","Ayarlanan Fiyat:"
"Date Added","Eklenme Tarihi"
"Days in Wishlist","Takip Listesinde Kalma Süresi"
"Display Wishlist Summary","Takip Listesi Özeti Göster"
"Edit","Düzelt"
"Helper for wishlist options rendering doesn't implement required interface.","Takip Listesi seçenekleri için kullanılan Helper gerekli arayüzü oluşturmuyor."
"My Wishlist Link","Takip Listem Bağlantısı"
"Options Details","Seçenek Detayları"
"User description","Kullanıcı açıklaması"
"View Details","Detayları Göster"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Click for price","Fiyat için tıklayınız"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-09-02 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"What's this?","Bu nedir ?"
"--------------- v 1.6.0.0-rc2 2011-09-02 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s takip listesine eklendi. <a href=""%2$s"">Buraya tıklayarak</a> alışverişe devam edebilirsiniz."
"%s has been moved to wishlist %s","%s adlı ürün, %s takip listenizden kaldırıldı"
"Cannot move item to wishlist","Ürün takip listenize eklenemedi"
"Could not find wishlist","Takip listesi bulunamadı"
"In stock","Stokta var"
"Product Details and Comment","Ürün Detayları ve Yorum"
"Requested cart item doesn't exist","İstenen ürün bulunamadı"
"Requested wishlist doesn't exist","İstenen takip listesi bulunamadı"
"This Wishlist has no Items","Bu takip listesinde ürün yok"
"Wishlist could not be created.","Takip listesi oluşturulamadı."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"User Description","Kullanıcı Açıklaması"
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
