"# of Use","# Kullanımda"
"Discount","İndirim"
"Label","İsim"
"Manage Label / Options","İsim / Seçenek Yönetimi"
"A name is required","İsim girmeniz gerekiyor"
"Set Name","İsmi Ayarla"
"Add to My Wishlist","Takip Listeme Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"ex. http://domain.com","ör. http://domain.com"
"Product Description","Ürün Açıklaması"
"Product Name","Ürün Adı"
"Product URL Suffix (cache refresh needed)","Ürün Adres Soneki (önbellek yenilenmesi gerektirir)"
"Product Alerts","Ürün Alarmları"
"Create Product Settings","Ürün Ayarlarını Oluştur"
"Product duplicated","Ürün çoğaltıldı"
"Product attribute was successfully saved","Ürün özelliği kaydedildi"
"Product attribute was successfully deleted","Ürün özelliği silindi"
"Edit Product Attribute ""%s""","Ürün özelliğini düzelt ""%s"""
"There was an error while updating product(s) attributes","Ürün özellikleri güncellenirken hata oluştu"
"Product Attribute","Ürün Özelliği"
"Edit Product Attribute","Ürün Özelliğini Düzenle"
"Product Attribute Specs","Ürün Özellik Ayrıntıları"
"Product Attribute Sets","Ürün Özellik Setleri"
"Product Attributes","Ürün Özellikleri"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Products Information","Ürün Bilgisi"
"Product Information","Ürün Bilgisi"
"Add Product","Ürün Ekle"
"Product Tags","Ürün Etiketleri"
"Compare Products - %d Items","Ürün Karşılaştırma - %d Ürün"
"Compare Products List","Ürün Karşılaştırma Listesi"
"Product Categories","Ürün Kategorileri"
"Product was successfully saved.","Ürün kaydedildi."
"Product saving error.","Ürün kaydetmede hata oluştu."
"SKU","Ürün Kodu"
"Missing SKU, skipping the record","Ürün kodu yok, kayıt atlanıyor"
"Product collection expected","Ürün koleksiyonu bekleniyor"
"No product collections found","Ürün koleksiyonu bulunamadı"
"Unable to get product id.","Ürün numarası bulunamadı."
"Product was successfully created.","Ürün oluşturuldu."
"Product Image Placeholders","Ürün Resmi Çerçevesi"
"Product Image Watermarks","Ürün Resmi Kopya Koruması"
"Product Options","Ürün Seçenekleri"
"Price values for options should be specified in system base currency.","Ürün Seçeneklerinin ücretlendirilmesi sistemde kullanılan varsayılan para birimi ile yapılmalıdır."
"Manage Product Sets","Ürün Setlerini Yönet"
"Remove Product","Ürün Sil"
"Product deleted","Ürün Silindi"
"Product Type","Ürün Tipi"
"Products Reviews","Ürün Yorumları"
"Product Reviews","Ürün Yorumları"
"Remove Product From Websites","Ürünü Web Sitelerinden Sil"
"Minimum Qty for Item's Status to be Out of Stock","Ürünün Stokta Yok gözükmesi için gerekli sayı"
"Products","Ürünler"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Compare Products","Ürünleri Karşılaştır"
"Compare Items","Ürünleri Karşılaştır"
"Check items to add to the cart or ","Ürünleri seçip sepete ekleyiniz veya "
"Manage Products","Ürünleri Yönet"
"Products Sitemap","Ürünlerin site haritası"
"Parent Category","Üst Kategori"
"Up-sells","Üst Satışlar"
"Top/Right","Üst/Sağ"
"Top/Left","Üst/Sol"
"Frontend","Ön Sayfa"
"Frontend Properties","Ön Sayfa Özellikleri"
"Frontend Model","Ön Sayfa Modeli"
"Comparable on Front-end","Ön sayfada Karşılaştırılabilir"
"Visible on Catalog Pages on Front-end","Ön sayfadaki katalog sayfalarında görünür"
"Previous","Önceki"
"Prev","Önceki"
"Roll Over for preview","Önizleme için üstüne gidin"
"Feature Products","Özel Ürünler"
"Special Price","Özel Fiyat"
"Special Price:","Özel Fiyat:"
"Custom Design","Özel Tasarım"
"Save Attribute","Özelliği Kaydet"
"Delete Attribute","Özelliği Sil"
"Position of attribute in layered navigation block","Özelliğin Katmanlı Gezinme Menüsündeki Yeri"
"Attribute Label","Özellik Adı (Görünür)"
"Attribute Name:","Özellik Adı:"
"Attribute Properties","Özellik Ayarları"
"Attribute Information","Özellik Bilgisi"
"This attribute no longer exists","Özellik bulunamıyor"
"Declare attribute value saving scope","Özellik değeri kaydetme havuzunu belirtiniz"
"Add New Attribute","Özellik Ekle"
"Add Attribute","Özellik Ekle"
"Attribute Code","Özellik Kodu"
"Attribute Model","Özellik Modeli"
"Attribute model not defined","Özellik modeli belirlenmedi"
"Attribute Set","Özellik Seti"
"Attrib. Set Name","Özellik Seti Adı"
"Edit Attribute Set '%s'","Özellik setini düzenle '%s'"
"Save Attribute Set","Özellik Setini Kaydet"
"Delete Attribute Set","Özellik Setini Sil"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Attribute Identifier","Özellik Tanımlayıcısı"
"Properties","Özellikler"
"Attributes","Özellikler"
"Update attributes","Özellikleri Güncelle"
"Manage Attributes","Özellikleri Yönet"
"Cross-sells","Çapraz Satış"
"Cross-sell Products","Çapraz Satışlı Ürünler"
"Duplicate","Çoğalt"
"Multiple Select","Çoklu Seçme"
"Failed","Başarısız"
"Starting at:","Başlama :"
"Manage Titles (Size, Color, etc.)","Başlıkları Yönet (Boyut, Renk, vs.)"
"Simple Product","Basit Ürün"
"Create Simple Associated Product","Basit Ürün Oluştur"
"Set Descending Direction","Büyükten Küçüğe Sıralamayı Ayarla"
"Pending","Beklemede"
"Pending Reviews","Bekleyen Yorumlar"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Unknown attribute: %s","Bilinmeyen özellik : %s"
"Minimum Qty Allowed in Shopping Cart","Bir Sipariş İçin İzin Verilen En Az Adet"
"Maximum Qty Allowed in Shopping Cart","Bir sipariş için izin verilen en çok adet"
"Choose an Option...","Birini seçiniz..."
"Empty","Boş"
"Create Empty","Boş Oluştur"
"There are no customers for this alert","Bu alarma bağlı müşteri yok"
"This search no longer exists","Bu arama artık bulunamıyor"
"You cannot edit this attribute","Bu özelliği düzenleyemezsiniz"
"You cannot update this attribute","Bu özelliği güncelleyemezsiniz"
"You cannot delete this attribute","Bu özelliği silemezsiniz"
"Are you sure you want to delete this attribute set?","Bu özellik setini silmek istediğinizden emin misiniz ?"
"Product with this combination of attributes already associated to configurable.","Bu ürün aynı kombinasyonla Ayarlanabilir Ürün olarak zaten var."
"No options of this product are available.","Bu ürün için seçenekler yok."
"Are you sure you would like to remove this item from the compare products?","Bu ürünü Karşılaştırma Listesinden silmek istediğinizden emin misiniz ?"
"This group contains system attributes. Please move system attributes to another group and try again.","Bu grup bazı sistem özelliklerini içeriyor. Bu sistem özelliklerini başka gruba kaydırıp tekrar deneyiniz."
"Are you sure you want to delete this category?","Bu kategoriyi silmek istediğinizden emin misiniz ?"
"Remove This Item","Bu kaydı sil"
"Print This Page","Bu sayfayı Yazdır"
"The information in this tab has been changed.","Bu sekmedeki bilgi değişti."
"This tab contains invalid data. Please solve the problem before saving.","Bu sekmedeki bilgilerde sorun var. Lütfen kaydetmeden önce sorunları gideriniz."
"Learn More","Daha Fazla Bilgi"
"Tile","Döşe"
"Notify for Quantity Below","Düşük Ürün Adedi Uyarısı"
"Notify Low Stock RSS","Düşük Stok RSS Akışı"
"Edit","Düzenle"
"Varchar","Değişken Uzunluklu Karakter Kümesi"
"Change","Değiştir"
"Change status","Durumu Değiştir"
"View Details","Detayları Göster"
"Continue","Devam"
"Not shared with other products","Diğer ürünlerle paylaşılmaz, 1 değer sadece 1 üründe kullanılabilir"
"More Views","Diğer Görünümler"
"Failed to move file: %s","Dosya taşınamadı : %s"
"Status","Durum"
"Conditions Combination","Durum Kombinasyonu"
"Email","E-mail"
"Send email","E-Mail Gönder"
"Email:","E-mail:"
"Synonym For","Eşanlamlısı"
"Synonym for","Eşanlamlısı"
"Please click on Close Window button if it won't be closed automatically","Eğer otomatik olarak kapanmasını beklemek istemiyorsanız 'Pencereyi Kapat' bağlantısına tıklayın"
"Search Term with such search query already exist.","Eşleşen sorguya bağlı aynı adda arama kelimesi zaten var."
"Unassigned Attributes","Eşleştirilmemiş Özellikler"
"Unique Value","Eşsiz Değer"
"Unique Value (not shared with other products)","Eşsiz Değer (diğer ürünlerle paylaşılmaz)"
"Additional Information","Ek Bilgi"
"Add New","Ekle"
"Date Subscribed","Eklendiği Tarih"
"Email Address","Email Adresi"
"Email Address:","Email Adresi:"
"Remove Email","Email Sil"
"Are you sure?","Emin misiniz ?"
"Best Value","Kategori Sıralaması"
"Best Selling Products","En Çok Satan Ürünler"
"Maximum %d email addresses allowed.","En fazla %d email adresine izin veriliyor."
"As low as:","En ucuz :"
"Inventory","Envanter"
"Error while saving this group. Please try again later.","Error while saving this group. Lütfen daha sonra tekrar deneyiniz."
"Old Price:","Eski fiyat :"
"Stretch","Esnek"
"Tag Name","Etiket Adı"
"Yes","Evet"
"Yes/No","Evet/Hayır"
"Filter must be as object. Set correct filter please","Filtre bir nesne gibi olmalıdır. Lütfen geçerli bir filtre giriniz"
"Filter model name must be declared","Filtre modeli adı belirtilmelidir"
"Filterable (with results)","Filtrelenebilir (sonuçlu)"
"Filterable (no results)","Filtrelenebilir (sonuçsuz)"
"Filters must be as array","Filtreler dizi gibi olmalıdır"
"Price","Fiyat"
"Price:","Fiyat :"
"Tier Pricing","Fiyat Kanalı"
"Prices","Fiyatlar"
"Gallery","Galeri"
"Sender:","Gönderici :"
"Visible","Görünür"
"Visibility","Görünürlük"
"Show","Göster"
"Use in advanced search","Gelişmiş aramada kullan"
"Global","Genel"
"General Information","Genel Bilgi"
"Globally Editable","Genel olarak Düzenlenebilir"
"Required","Gerekli"
"Back","Geri"
"Grouped Product","Grup Ürünü"
"Add New Group","Grup Ekle"
"Add Group","Grup Ekle"
"Error while saving this group. Group with the same name already exists.","Grup kaydedilirken hata oluştu. Aynı adla bir grup zaten kayıtlı."
"Groups","Gruplar"
"Letters","Harfler"
"Letters(a-zA-Z) or Numbers(0-9)","Harfler(a-zA-Z) veya Numaralar(0-9)"
"Exclude","Hariç Tut"
"Invalid attribute set specified, skipping the record","Hatalı özellik seti, kayıt atlanıyor"
"Invalid product type specified, skipping the record","Hatalı ürün tipi seçildi, kayıt atlanıyor"
"Invalid block: %s","Hatalı blok : %s"
"Invalid category IDs","Hatalı kategori numara(ları)"
"Invalid store specified","Hatalı mağaza seçimi"
"Invalid image file type","Hatalı resim dosyası tipi"
"Scope","Havuz"
"No","Hayır"
"Use in quick search","Hızlı aramada kullan"
"Quick simple product creation","Hızlı basit ürün oluşturma"
"Quick Overview","Hızlı Gözat"
"Quick Create","Hızlı Oluştur"
"Bundle","Hediye"
"This bundle is out of stock.","Hediye ürün stokta yok."
"All","Hepsi"
"See all %s","Hepsini göster %s"
"select all","hepsini seç"
"There are no %s available.","Hiç %s yok."
"Nowhere","Hiçbir Yerde"
"Grid","Izgara"
"Products per Page on Grid default value","Izgara tipinde Sayfa Başı Ürün Sayısı varsayılan değer"
"Kamper state-of-art Extra Comfort runners","Kamper ultra konforlu koşu ayakkabıları"
"Add Tier","Kanal Ekle"
"Comparable","Karşılaştırılabilir"
"You have no items to compare.","Karşılaştırılacak ürün eklemediniz."
"Compare list successfully cleared","Karşılaştırma listesi temizlendi"
"Are you sure you would like to remove all item from compare products?","Karşılaştırma Listesindeki bütün ürünleri silmek istediğinizden emin misiniz ?"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Catalog","Katalog"
"Catalog Searches","Katalog Aramaları"
"Catalog Price Scope","Katalog Fiyat Havuzu"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Catalog, Search","Katalog, Arama"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda veya ürün aramalarında gözükmesini istemediğiniz ürünler için istediğiniz mağazada 'Kapalı' seçiniz."
"Category","Kategori"
"Category Products","Kategori Ürünleri"
"Category Navigation:","Kategori Gezisi :"
"Category saved","Kategori kaydedildi"
"Category deleted","Kategori silindi"
"Category delete error","Kategori silmede hata"
"Category move error","Kategori taşıma hatası"
"Category Data","Kategori Verisi"
"Use categories path for product URLs","Kategori yolunu ürün adresinde kullan"
"Categories","Kategoriler"
"Manage Categories","Kategorileri Yönet"
"Categories Sitemap","Kategorilerin Site Haritası"
"Save Category","Kategoriyi Kaydet"
"Delete Category","Kategoriyi Sil"
"Position In Layered Navigation","Katmanlı Gezinme Menüsündeki Yeri"
"Use In Layered Navigation","Katmanlı Menüde Kullan"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Katmanlı Menüde Kullan <br/>(Sadece katalogdaki 'Açılır Menü' tipindeki alanlarda kullanılır)"
"Records for ""","Kayıtlar """
"Saved ","Kaydedildi "
"Save","Kaydet"
"save %s%%","%s%% indirimli al"
"Save And Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Source Model","Kaynak Modeli"
"Set Ascending Direction","Küçükten Büyüğe Sıralamayı Ayarla"
"Problem saving the collection, aborting. Error: %s","Koleksiyon kaydedilirken hata oluştu, işlem iptal edildi. Hata : %s"
"Position","Konum"
"Watermark Position","Kopya Konumu"
"Watermark","Kopya Koruması"
"Watermark Default Size","Kopya Koruması Boyutu"
"Number of Uses","Kullanım Sayısı"
"Please select products for attributes update","Lütfen özellikleri güncellenecek ürünleri seçiniz"
"Please select product(s)","Lütfen ürün(leri) seçiniz "
"Please select one or more attributes.","Lütfen bir veya daha fazla özellik seçiniz."
"Please add one or more options","Lütfen en az bir seçenek ekleyiniz"
"Please select static block ...","Lütfen sabit bloku seçiniz ..."
"List","Liste"
"List Mode","Liste Modu"
"Products per Page on List default value","Liste tipinde Sayfa Başı Ürün Sayısı varsayılan değer"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"If you do not specify an option value for a store then the default value will be used.","Mağaza için bir değer belirlemezseniz varsayılan değer kullanılacak."
"Set Root Category For Store","Mağaza için En Üst Kategoriyi seçiniz"
"Set root category for this store in the <a href=""%s"">configuration</a>","Mağaza için En Üst Kategoriyi seçmek için <a href=""%s"">BURAYA</a> tıklayınız"
"Input Validation for Store Owner","Mağaza kurucusu için giriş onayı"
"Catalog Input Type for Store Owner","Mağaza Sahibi için Katalog Giriş Tipi"
"Customer Group","Müşteri Grubu"
"Duplicate website tier price customer group and quantity.","Müşteri grubu ve adete özel fiyat vermek için çoğalt."
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Müşteri servisimiz 24/7 çalışmaktadır. Bizi 444 DEMO numarısından ulaşabilirsiniz."
"Customers Reviews","Müşteri Yorumları"
"Customer Reviews","Müşteri Yorumları"
"Customers Tagged Product","Müşteriler tarafından eklenen etiketler"
"Message:","Mesaj :"
"ID","No"
"Regular Price:","Normal Fiyat :"
"Approved","Onaylandı"
"Decimal","Ondalık"
"Decimal Number","Ondalıklı Sayı"
"Autogenerate","Otomatik Oluştur"
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 Yüksek Çözünürlüklü Kamera"
"Disabled","Pasif"
"Close Window","Pencereyi Kapat"
"Manage Ratings","Puanlamaları Yönet"
"Media Image","Resim"
"Image","Resim"
"Base directory to upload image file is not specified","Resim dosyaları için belirtilmesi gereken resim klasörü belirtilmemiş"
"Image file not found","Resim dosyası bulunamadı"
"Add New Images","Resim Ekle"
"Image type and information need to be specified for each store view.","Resim tipi ve bilgisi her mağaza için ayrı belirlenmeli."
"No image","Resim yok"
"Image not exists","Resim yok"
"Subscribe to RSS Feed","RSS Veri Akışına Abone Ol"
"Static","Sabit"
"Fixed","Sabit"
"Static block and products","Sabit blok ve ürünler"
"Products only","Sadece ürünler"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sadece katalog girişi tipindeki açılır menülerde, Çoklu Seçimlerde ve Fiyatta kullanılabilir"
"Can be used only with catalog input type Dropdown","Sadece katalog girişi tipindeki Dropdown (açılır menü) ile kullanılır"
"Static block only","Sadece sabit blok"
"Sandra Mashiso Red Business shoes","Sandra Mashiso Kırmızı iş ayakkabıları"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Line %d, Email: %s","Satır %d, Email: %s"
"Skip import row, is not valid value ""%s"" for field ""%s""","Satırı almayı atla, ""%s"" geçerli bir değer değil. ( Alan : ""%s"")"
"Skip import row, required field ""%s"" not defined","Satırı almayı atla, doldurulması zorunlu bir alan olan ""%s"" boş"
"Skip import row, store ""%s"" field not exists","Satırı almayı atla, mağaza ""%s"" alanı bulunamıyor"
"Skip import row, required field ""%s"" for new products not defined","Satırı almayı atla, yeni ürün için doldurulması zorunlu bir alan olan ""%s"" boş"
"Skip import row, required field ""%s"" for new customer not defined","Satırı almayı atla, yeni müşteri için doldurulması zorunlu bir alan olan ""%s"" boş"
"Send Count","Sayımı Gönder"
"Integer Number","Sayısal"
"Integer","Sayısal"
"Page:","Sayfa :"
"per page","sayfa başı"
"Page Title Separator","Sayfa Başlık Ayracı"
"Reset","Sıfırla"
"Sort Order","Sıralama"
"Sort by","Sıralama Alanı"
"Super product attributes configuration","Süper ürün özellikleri ayarı"
"Delete Option","Seçeneği Sil"
"Option","Seçenek"
"Error during retrieval of option value: %s","Seçenek değeri alınırken hata oluştu : %s"
"Add Option","Seçenek Ekle"
"Options is required","Seçenek gerekli"
"Options Control","Seçenek Kontrolü"
"Option:","Seçenek:"
"Options","Seçenekler"
"Manage Options (values of your attribute)","Seçenekleri Yönet (özelliklerin değerleri)"
"Selected Product Types","Seçili Ürün Tipleri"
"Delete Selected Group","Seçili Grubu Sil"
"There is %d product(s) that will be not updated for selected store","Seçili mağazada %d ürün güncellenmeyecek"
"There are no products matching the selection.","Seçiminizle eşleşen ürün yok."
"Choose option...","Seçiniz..."
"Add to Cart","Sepete Ekle"
"Add Items to Cart","Sepete Ekle"
"Cart Item Attribute","Sepetteki ürün özelliği"
"Add New Set","Set Ekle"
"Remove","Sil"
"Delete","Sil"
"Unable to find a search term to delete","Silinecek arama kelimesi bulunamadı"
"Unable to find an attribute to delete","Silinecek özellik bulunamadı"
"System","Sistem"
"You cannot remove system attribute from this set.","Sistem özelliğini bu setten özellik setinden silemezsiniz."
"System Properties","Sistem Özellikleri"
"Site Map","Site Haritası"
"Last Notification","Son Bildirim"
"Next","Sonraki"
"Number of results<br/>(For last time placed)","Sonuç sayısı<br/>(Son sefer için)"
"Results","Sonuçlar"
"Last Name","Soyad"
"Stock Availability","Stok Durumu"
"Availability: In stock.","Stok Durumu : Stokta var"
"Availability: In stock. Ships within 24 hours.","Stok Durumu : Stokta var, 24 saat içinde kargoya verilir"
"Availability: Out of stock.","Stok Durumu : Stokta yok"
"In stock","Stokta var"
"In Stock","Stokta var"
"Out of Stock","Stokta Yok"
"Out of stock","Stokta yok"
"Out of stock.","Stokta Yok."
"Date","Tarih"
"Datetime","Tarih-Saat"
"Design","Tasarım"
"Add Design Change","Tasarım Değişikliği Ekle"
"Display in Suggested Terms","Tavsiye edilen deyimler kısmında göster"
"All Product Types","Tüm Ürün Tipleri"
"ALL GROUPS","Tüm GRUPLAR"
"All Reviews","Tüm Yorumlar"
"unselect all","tümünü seçim dışı bırak"
"Clear All Items","Tümünü Temizle"
"Clean boot cut women's business pant","Temiz bot kadinin is pantolonunu keser :)"
"Type","Tip"
"Total of %d record(s) were successfully updated","Toplam %d kayıt güncellendi"
"Total of %d record(s) were successfully deleted","Toplam %d kayıt silindi"
"Apply To","Uygula"
"Zoom Out","Uzaklaştır"
"Array of Entity collections is expected","Varlık koleksiyonları listesi bekleniyor"
"Entity collection is expected","Varlık listesi bekleniyor"
"Is Default","Varsayılan"
"Default Qty","Varsayılan Adet"
"Default value","Varsayılan değer"
"Use Default Value","Varsayılan Değeri Kullan"
"Default Values","Varsayılan Değerler"
"Default price","Varsayılan fiyat"
"Default Tax Class","Varsayılan Vergi Sınıfı"
"and","ve"
"Subscribe to Feed","Veri Akışına Abone Ol"
"Data Type for Saving in Database","Veritabanına kaydederken kullanılacak veri tipi"
"OR","VEYA"
"and above","veya daha fazla"
"Product In Websites","Web Sitelerindeki Ürün"
"There was an error while removing products from websites","Web sitelerinden ürün silinirken hata oluştu"
"Add Product To Websites","Web sitelerine ürün ekle"
"There was an error while adding products to websites","Web sitelerine ürün eklenirken hata oluştu"
"Website","Web Sitesi"
"Websites","Websiteleri"
"Zoom In","Yaklaştır"
"Invalid store specified, skipping the record","Yanlış mağaza seçildi, kayıt atlanıyor"
"No layout updates","Yapısal güncelleme yok"
"Text","Yazı"
"Text Area","Yazı Alanı"
"Text Field","Yazı Kutusu"
"Redirect","Yönlendir"
"Redirect URL","Yönlendirileceği Adres"
"Percentage","Yüzde"
"New Search","Yeni Arama"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"Add New Attribute Set","Yeni Özellik Seti Ekle"
"Please enter a new group name","Yeni bir Grup Adı giriniz"
"New Category","Yeni Kategori"
"New Set Name","Yeni Set Adı"
"None","Yok"
"Review was successfully saved","Yorum kaydedildi"
"Review was saved successfully","Yorum kaydedildi"
"Review successfully deleted","Yorum silindi"
"Reviews","Yorumlar"
"Reviews and Ratings","Yorumlar ve Puanlamalar"
"Values Required","Zorunlu değerler"
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19 inç LCD monitör"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24 inç LCD monitör"
"[GLOBAL]","[GENEL]"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"* Required Fields","* Doldurulması zorunlu alanlar"
"Add New Option","Seçenek Ekle"
"Add New Row","Satır Ekle"
"Add Root Category","Ana Kategori Ekle"
"Add Subcategory","Alt Kategori Ekle"
"Add Tax","Vergi Ekle"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Bu sete bağlı tüm ürünler silinecek! Bu özellik setini silmek istediğinizden emin misiniz ?"
"Allow HTML-tags on Front-end","Ön sayfada HTML etiketlerine izin ver"
"Are you sure you would like to remove all products from your comparison?","Karşılaştırma listesindeki tüm ürünleri listeden silmek istediğinizden emin misiniz ?"
"Assign","Ata"
"Assign product link","Ürün bağlantısı ata"
"Assign product to category","Ürünü kategoriye ata"
"Assigned Products","Atanmış Ürünler"
"Attribute group with the \"/name/\" name already exists"," \"/name/\" adında bir özellik grubu zaten var"
"Attrribute names can be specified per store.","Özellik adları her mağaza için ayrı belirtilmelidir."
"Availability","Varlık"
"Block after Info Column","Bilgi kolonundan sonra Blok"
"Buy %1$s for %2$s","%1$s için %2$s öde"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s adet al, her biri için %2$s öde (Vergi Dahil %3$s)"
"Buy %1$s for %2$s each","%1$s adet al, her biri için %2$s öde"
"Can\'t create image.","Resim oluşturulamıyor."
"Catalog Section","Katalog Bölümü"
"Category API","Kategori API si"
"Category Top Navigation","Kategori Gezinmesi"
"Category URL Suffix","Kategori URL Soneki"
"Category attributes API","Kategori Özellikleri API si"
"Category must be instance of Mage_Catalog_Model_Category","Kategori, Mage_Catalog_Model_Category modelinin bir örneği olmalı"
"Change or Retrieve attribute store view","Özellik görünümünü Gör/Değiştir"
"Check items to add to the cart or","Sepete eklenmek üzere ürün seçiniz veya "
"Clear All","Hepsini Temizle"
"Collapse All","Hepsini Toparla"
"Compare Products (%d)","Ürünleri Karşılaştır (%d)"
"Country/State","Ülke/Şehir"
"Create","Oluştur"
"Create (Upload)","Oluştur (Yükle)"
"Create new category","Yeni kategori Ekle"
"Create new product","Yeni Ürün Ekle"
"Custom Options","Özel Seçenekler"
"Delete Row","Satır Sil"
"Delete category","Kategori Sil"
"Delete product","Ürün Sil"
"Double click on above image to view full picture","Tam boyutu görmek için yukarıdaki resme çift tıklayınız"
"Downloadable Product","İndirilebilir Ürün"
"Duplicate website, country and state tax found.","Çift web sitesi, ülke ve bölge vergisi bulundu."
"Expand All","Hepsini Aç"
"File Extension","Dosya Uzantısı"
"For reindex enabled product(s) you need specify store or product","Etkin ürünleri yeniden indekslemek için mağaza veya ürün seçiniz"
"Get special price","Özel fiyatı al"
"ID: %s","No: %s"
"Image Size","Resim Boyutu"
"Image content is not valid base64 data.","Resim içeriği geçerli base64 verisi değil."
"Image not specified.","Resim seçilmedi."
"In stock.","Stokta var."
"Incl. Tax","Vergi Dahil"
"Input Type","Giriş Tipi"
"Invalid Tier Prices","Hatalı Kanal Fiyatı"
"Invalid category","Hatalı kategori"
"Invalid image type.","Hatalı resim tipi."
"Is Required","Zorunlu"
