"# of Uses","# Kullanım Sayısı"
"ZIP/Post Code","Posta Kodu"
"Add to Cart","Sepete Ekle"
"Delete","Sil"
"Last Name","Soyadı"
"Add to Wishlist","Takip Listesine Ekle"
"All tags","Tüm etiketler"
"All Tags","Tüm Etiketler"
"View All Tags","Tüm Etiketleri Göster"
"Thank you. Your tag has been accepted for moderation.","Teşekkürler. Etiketiniz onaydan geçmek üzere kabul edildi."
"Telephone","Telefon"
"Click on a tag to view your corresponding products.","Uygun ürünleri görmek için etikete tıklayın."
"XML","XML"
"New Tag","Yeni Etiket"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"%s tag(s) have been accepted for moderation","%s etiketler onaylanmak üzere kaydedildi"
"Search Terms","Aranan"
"Tag ""%s"" has already been added to the product","""%s"" adlı etiket ürüne eklendi"
"Tag can\'t be empty.","Etiket boş bırakılamaz."
"Your tag was successfully deleted","Etiket silindi"
"Your tag was successfully saved","Etiket kaydedildi"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"<strong>Tag Name:</strong> %s","<strong>Etiket Adı:</strong> %s"
"Base Popularity","Taban Popülarite"
"Customer My Account My Tags List","Müşteri Hesabım Etiketlerim"
"Customer My Account Tag View","Müşteri Hesabım Etiket Görünümü"
"Customers Submitted this Tag","Müşterilerin Etiketledikleri"
"Manage Tags","Etiketleri Yönet"
"Products Tagged by Administrators","Yöneticiler Tarafından Etiketlenen Ürünler"
"Products Tagged by Customers","Müşteriler Tarafından Etiketlenen Ürünler"
"Save And Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Tagged Products List","Etiketlenmiş Ürün Listesi"
"Tags List (All Available)","Etiket Listesi (Hepsi)"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%s tag(s) have been accepted for moderation.","%s etiket onaylanmak üzere kaydedildi."
"Catalog Product View","Katalog Ürün Görünümü"
"Rebuild Tag aggregation data","Etiket toplama verisini yeniden oluştur"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Store View","Mağaza Görünümü"
"Tag ""%s"" has already been added to the product."," ""%s"" adlı etiket zaten bu ürüne eklenmiş."
"Tag ""%s"" has been added to the product.","""%s"" adlı etiket ürüne eklendi."
"Tag ""%s"" has been rejected by administrator.","""%s"" adlı etiket yönetici tarafından reddedildi."
"Tag Aggregation Data","Etiket Toplama Verisi"
"Tags List Before","Önceki Etiket Listesi"
"The tag has been deleted.","Etiket silindi."
"There are no tags available.","Hiç etiket eklenmedi."
"Unable to save tag(s).","Etiket kaydı yapılamadı."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-11-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Add","Ekle"
"Add tag(s) to product","Ürüne etiket ekle"
"Info","Bilgi"
"Product Tag API","Ürün Etiket APIsi"
"Remove","Sil"
"Remove product tag","Ürün etiketini sil"
"Retrieve list of tags by product","Ürüne göre etiket listesi al"
"Retrieve product tag info","Ürün etiket bilgisi al"
"Update","Güncelle"
"Update product tag","Ürün etiketini güncelle"
"--------------- v 1.6.0.0-rc2 2011-11-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.9.2.2 2016-05-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Middle Name","İkinci Ad"
"--------------- v 1.9.2.2 2016-05-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
